NAME,DATE,REVIEW_BODY,PROFILE_PIC,RATINGS_ID
Sam Goldie,March 2014, We had so much fun! BEST TRIP EVER!,https://beartnt-profile-photos.s3.us-east-2.amazonaws.com/beartnt+profile+photos/pexels-photo-2726111.jpeg,1
Daniel Lee,June 2011, The owner wouldn't let me bring my pet bear. But the owner was cool. The town was very cute. The torcher chamber was a bit too much. BEST TRIP EVER! We had so much fun! The owner has the best style. And I would do it again! You can tell the owner really likes bears. NO INDOOR PLUMBING!!,https://beartnt-profile-photos.s3.us-east-2.amazonaws.com/beartnt+profile+photos/pexels-photo-3770317.jpeg,1
Mitch McDermott,December 2014, You can tell the owner really likes bears. NO INDOOR PLUMBING!! The view form the back porch was to die for. This place is awesome! My partner and I always wanted to visit. The place smelled very bad!,https://beartnt-profile-photos.s3.us-east-2.amazonaws.com/beartnt+profile+photos/pexels-photo-1310522.jpeg,1
Jeremy England,January 2013, I want my money back.,https://beartnt-profile-photos.s3.us-east-2.amazonaws.com/beartnt+profile+photos/pexels-photo-415829.jpeg,1
John Campbell,April 2011, The view form the back porch was to die for. I do not regret anything! It was quite a drive from the airport. The torcher chamber was a bit too much. I want my money back. But seriously tell all your friends! But the owner was cool. I came here for my honemoon. I wish I could have stayed longer. And I would do it again! The owner wouldn't let me bring my pet bear. BE WARNED! You can tell the owner really likes bears. Why didn't I find this place sooner? This place is awesome! BEST TRIP EVER! The town was very cute. Very much worth it. We had so much fun! My partner and I always wanted to visit.,https://beartnt-profile-photos.s3.us-east-2.amazonaws.com/beartnt+profile+photos/pexels-photo-4886801.jpeg,1
Dylan Ring,December 2016, BE WARNED! It was quite a drive from the airport. I came here for my honemoon. And I would do it again! I wish I could have stayed longer. The torcher chamber was a bit too much. I want my money back. The owner has the best style. My partner and I always wanted to visit. You can tell the owner really likes bears. But the owner was cool.,https://beartnt-profile-photos.s3.us-east-2.amazonaws.com/beartnt+profile+photos/pexels-photo-220453.jpeg,1
Rebecca Wiegel,May 2011, We had so much fun! Why didn't I find this place sooner? And I would do it again! The town was very cute. This place is awesome! NO INDOOR PLUMBING!! You can tell the owner really likes bears. I wish I could have stayed longer. I came here for my honemoon. But the owner was cool.,https://beartnt-profile-photos.s3.us-east-2.amazonaws.com/beartnt+profile+photos/pexels-photo-5853675.jpeg,1
Brandon Elzy,January 2012, But the owner was cool. The place smelled very bad! I do not regret anything! NO INDOOR PLUMBING!! I want my money back. BE WARNED! I wish I could have stayed longer. It was quite a drive from the airport. Very much worth it. The town was very cute. This place is awesome! I came here for my honemoon. We had so much fun! The owner has the best style. But seriously tell all your friends! The torcher chamber was a bit too much. The owner wouldn't let me bring my pet bear.,https://beartnt-profile-photos.s3.us-east-2.amazonaws.com/beartnt+profile+photos/pexels-photo-4886781.jpeg,2
David Kim,September 2015, I came here for my honemoon. And I would do it again! BE WARNED! You can tell the owner really likes bears. Very much worth it. We had so much fun! The place smelled very bad! This place is awesome! I want my money back. NO INDOOR PLUMBING!! But seriously tell all your friends! The owner wouldn't let me bring my pet bear. It was quite a drive from the airport. The owner has the best style. But the owner was cool. Why didn't I find this place sooner? The town was very cute. The torcher chamber was a bit too much.,https://beartnt-profile-photos.s3.us-east-2.amazonaws.com/beartnt+profile+photos/pexels-photo-4123910.jpeg,2
Alex Sandoval,October 2009, You can tell the owner really likes bears. The place smelled very bad! BEST TRIP EVER! The view form the back porch was to die for. Why didn't I find this place sooner? I wish I could have stayed longer. Very much worth it. NO INDOOR PLUMBING!! The town was very cute. The owner has the best style. BE WARNED! We had so much fun! But seriously tell all your friends! This place is awesome! And I would do it again! The torcher chamber was a bit too much. But the owner was cool.,https://beartnt-profile-photos.s3.us-east-2.amazonaws.com/beartnt+profile+photos/pexels-photo-3970387.jpeg,2
Tyler Bailey,October 2009, The owner has the best style. NO INDOOR PLUMBING!! My partner and I always wanted to visit. We had so much fun! It was quite a drive from the airport. But seriously tell all your friends! And I would do it again! I wish I could have stayed longer. But the owner was cool. The owner wouldn't let me bring my pet bear. The place smelled very bad! The town was very cute. I do not regret anything! BE WARNED! The torcher chamber was a bit too much.,https://beartnt-profile-photos.s3.us-east-2.amazonaws.com/beartnt+profile+photos/pexels-photo-3770317.jpeg,2
Quentin McMillian,September 2011, My partner and I always wanted to visit. BE WARNED! NO INDOOR PLUMBING!! I wish I could have stayed longer. The place smelled very bad! The owner has the best style. Why didn't I find this place sooner? The torcher chamber was a bit too much. I do not regret anything! And I would do it again! This place is awesome! But the owner was cool. I want my money back. I came here for my honemoon.,https://beartnt-profile-photos.s3.us-east-2.amazonaws.com/beartnt+profile+photos/pexels-photo-3775540.jpeg,2
Zain Padela,November 2014, We had so much fun! This place is awesome! BEST TRIP EVER! The view form the back porch was to die for. BE WARNED! My partner and I always wanted to visit. But the owner was cool. It was quite a drive from the airport. The owner has the best style. The place smelled very bad! I do not regret anything! You can tell the owner really likes bears. I want my money back. The owner wouldn't let me bring my pet bear. Very much worth it. Why didn't I find this place sooner? I came here for my honemoon.,https://beartnt-profile-photos.s3.us-east-2.amazonaws.com/beartnt+profile+photos/pexels-photo-4100670.jpeg,2
John Anderton,December 2009, But the owner was cool. I do not regret anything! NO INDOOR PLUMBING!! I wish I could have stayed longer. But seriously tell all your friends! Very much worth it. You can tell the owner really likes bears. The place smelled very bad! The owner wouldn't let me bring my pet bear.,https://beartnt-profile-photos.s3.us-east-2.amazonaws.com/beartnt+profile+photos/pexels-photo-4886801.jpeg,2
Matthew Morgan,June 2011, The view form the back porch was to die for. This place is awesome! You can tell the owner really likes bears. The place smelled very bad! NO INDOOR PLUMBING!! The torcher chamber was a bit too much. And I would do it again! Why didn't I find this place sooner? But the owner was cool. My partner and I always wanted to visit. Very much worth it. BE WARNED! It was quite a drive from the airport. But seriously tell all your friends! I want my money back. The owner has the best style. The town was very cute. I came here for my honemoon. The owner wouldn't let me bring my pet bear.,https://beartnt-profile-photos.s3.us-east-2.amazonaws.com/beartnt+profile+photos/pexels-photo-415829.jpeg,2
Mukhtar Bahadory,June 2019, Very much worth it. I want my money back. This place is awesome! The town was very cute. We had so much fun! My partner and I always wanted to visit. NO INDOOR PLUMBING!! The place smelled very bad! The owner has the best style. It was quite a drive from the airport. You can tell the owner really likes bears. But seriously tell all your friends!,https://beartnt-profile-photos.s3.us-east-2.amazonaws.com/beartnt+profile+photos/pexels-photo-220453.jpeg,2
Jeremy England,May 2012, My partner and I always wanted to visit. The owner wouldn't let me bring my pet bear. The torcher chamber was a bit too much.,https://beartnt-profile-photos.s3.us-east-2.amazonaws.com/beartnt+profile+photos/pexels-photo-4153618.jpeg,2
Giovani Maccagno,December 2016, I wish I could have stayed longer. You can tell the owner really likes bears. Very much worth it. Why didn't I find this place sooner? My partner and I always wanted to visit. NO INDOOR PLUMBING!! The town was very cute. The owner wouldn't let me bring my pet bear. But seriously tell all your friends! The owner has the best style. BEST TRIP EVER! The place smelled very bad! It was quite a drive from the airport. The torcher chamber was a bit too much. I do not regret anything! BE WARNED! And I would do it again! We had so much fun! The view form the back porch was to die for. But the owner was cool.,https://beartnt-profile-photos.s3.us-east-2.amazonaws.com/beartnt+profile+photos/pexels-photo-2726111.jpeg,2
Rebecca Wiegel,February 2012, The owner wouldn't let me bring my pet bear. The place smelled very bad! The view form the back porch was to die for.,https://beartnt-profile-photos.s3.us-east-2.amazonaws.com/beartnt+profile+photos/pexels-photo-3851312.jpeg,2
